UBS;Coordenada;Endereço;Telefone;Horário de funcionamento;Bairro
UBS VILA PAULINA SAUDE DA FAMILIA;-23.729660303914102, -46.6169076670213;AVENIDA AFRANIO PEIXOTO;1140590660;08:00 – 16:00;VILA PAULINA
UBS JARDIM INAMAR SAUDE DA FAMILIA;-23.716384217749937, -46.61322089887985;RUA JOSE VICENTE;1140471636;07:00 – 17:00;JD INAMAR
UBS CASA GRANDE SAUDE DA FAMILIA;-23.709976884532264, -46.59967172821631;RUA MEM DE SA;1140663311;00:00 – 00:00;JARDIM CASA GRANDE
UBS VILA NOGUEIRA SAUDE DA FAMILIA;-23.688179825476993, -46.595547951680615;RUA SEBASTIAO FERNANDES TOURINHO;1140715058;07:00 – 17:00;VILA NOGUEIRA
UBS CENTRO;-23.6850431793044, -46.628636124067626;AVN SAO JOSE;1140923576;07:00 – 18:00;CENTRO
UBS PARQUE REID SAUDE DA FAMILIA;-23.676507211168214, -46.6265735516808;RUA SERRA DE MARACUJA;1140431162;07:00 – 17:00;PARQUE REID
UBS SERRARIA;-23.69890725592699, -46.60973921914987;AV LICO MAIA;1140553216;07:00 – 19:00;SERRARIA
UBS PIRAPORINHA SAUDE DA FAMILIA;-23.681773203146253, -46.56567833871165;RUA RUI BARBOSA;1140665200;07:00 – 17:00;PIRAPORINHA
UBS JARDIM PAINEIRAS SAUDE DA FAMILIA;-23.664588564959246, -46.61716662710156;RUA JAVARI;1140918395;07:00 – 17:00;JD PAINEIRAS
UBS JARDIM CANHEMA SAUDE DA FAMILIA;-23.67775003294277, -46.603876044851255;RUA 22 DE ABRIL;40711330;07:00 – 17:00;JD CANHEMA
UBS CONCEICAO;-23.699788580571813, -46.618619459765256;RUA BOROROS;1140772696;07:00 – 17:00;CONCEICAO
UBS PARQUE REAL SAUDE DA FAMILIA;-23.69345593807632, -46.62289088016309;RUA ODETE AMARAL DE OLIVEIRA;40566020;07:00 – 17:00;PRQ REAL
UBS VILA SAO JOSE SAUDE DA FAMILIA;-23.677630514139768, -46.584009009252576;RUA BARAO DE IGUAPE;1140711179;07:00 – 17:00;VIL SAO JOSE
UBS PROMISSAO SAUDE DA FAMILIA;-23.695685647001092, -46.598649377522435;RUA PRUDENTE DE MORAES;1140664300;07:00 – 19:00;JARDIM PROMISSAO
UBS MARIA TEREZA SAUDE DA FAMILIA;-23.66366048833716, -46.624391741499174;RUA IGUACU;40913469;00:00 – 00:00;JD SAO JUDAS TADEU
UBS JARDIM RUYCE SAUDE DA FAMILIA;-23.71009033434135, -46.59942834130173;AV ELDORADO;1140665596;00:00 – 00:00;JARDIM RUYCE
UBS ELDORADO SAUDE DA FAMILIA;-23.717762031124252, -46.62363837487208;AV NOSSA SENHORA DOS NAVEGANTES;1140436100;07:00 – 18:00;ELDORADO
UBS JARDIM ABC SAUDE DA FAMILIA;-23.66501268960204, -46.60175027605564;RUA DAS MACIEIRAS;1140716062;07:00 – 17:00;JD ABC
UBS VILA NOVA CONQUISTA SAUDE DA FAMILIA;-23.68286905600688, -46.58839806644483;AVN PRESIDENTE JUSCELINO;1140719595;07:00 – 17:00;PIRAPORINHA
UBS JARDIM DAS NACOES SAUDE DA FAMILIA;-23.673673704019286, -46.60908402389559;RUA ITALIA;40762700;07:00 – 17:00;JARDIM DAS NACOES
